Time [s],F_NEDC,V_NEDC,F_2,V_2,F_1,V_1
176,424.662,9.717976,167.0635,7.3619404,1180.3417,18.099308
177,424.662,9.717976,435.18732,7.3939734,1453.4675,18.207687
177,424.662,9.717976,435.18732,7.3939734,1453.4675,18.207687
178,424.662,9.717976,330.34818,7.4123936,1220.148,18.265575
178,424.662,9.717976,330.34818,7.4123936,1220.148,18.265575
179,-3962.848,8.789628,453.04047,7.458253,961.7465,18.26816
179,-3962.848,8.789628,453.04047,7.458253,961.7465,18.26816
180,-3975.0903,7.8175287,485.05353,7.4976106,1092.1559,18.294634
180,-3975.0903,7.8175287,485.05353,7.4976106,1092.1559,18.294634
181,-3985.965,6.845415,638.6567,7.558019,871.7198,18.26906
181,-3985.965,6.845415,638.6567,7.558019,871.7198,18.26906
182,-3995.4065,5.873287,1041.7168,7.695466,1526.9143,18.37362
182,-3995.4065,5.873287,1041.7168,7.695466,1526.9143,18.37362
183,-4003.4146,4.9011455,1373.9796,7.9004683,808.8543,18.325245
183,-4003.4146,4.9011455,1373.9796,7.9004683,808.8543,18.325245
184,-4009.9895,3.9289887,1799.481,8.191291,592.88293,18.216293
184,-4009.9895,3.9289887,1799.481,8.191291,592.88293,18.216293
